Abbreviation,Main Keywords
,Nuclear Power; Nuclear Medical Applications; Nuclear Industrial Applications; Nuclear Commercial Applications; Nuclear Safety; Nuclear Fusion; Nuclear Proliferation; Nuclear Fission; Radioactivity; Nuclear Energy
ijornp,Musculoskeletal System; Sports Injuries And Musculoskeletal Trauma; Orthopedic Surgery; Degenerative Diseases; Children Orthopedics; Orthopedic Nursing; Orthopedic Trauma; Arthroscopy; Orthopedic Implants; Fracture And Physiotherapy
njel,Environmental Law and Policy; Environmental Disaster; Protection and Practical Training; International Environmental Law and Policy; Environmental Protection Mechanism; Arbitration and Conciliation; Prevention of Money Laundering; Law Relating to Stamps; Law Relating to Society
,Conservation of Mass; Energy; Momentum; Kinematics of Fluid Flow; Dynamics of Fluid Flow; Pipe Flow System; Newtonian Fluid; Non - Newtonian Fluid; Flow; Turbulence; Combustion; Computational Fluid Dynamics
,Soil and rock mechanics; Earthquake engineering; Ground improvement; Field characterization of soils; Waste and waste management; structure interaction; Landslides and slope stability
njlil,"font-weight; Labour Law in India; Important Case Laws under Various Labour Legislations; Special Points in Employment Agreements; Industrial Relations; Women Labour and the Law; Labour Laws in the Unorganized Sector; Unfair Labour Practice; Checklist of Labour Law Compliance; Apprentices Act 1961; Maternity Benefit Act, 1961; Law Related to Contract Labor; Laws Related to Child Labor; Laws Related to Wages; Shops and Establishment Act, 1954; s Compensation Act 1923; Payment of Gratuity Act, 1972; Payment of Bonus Act, 1965; Laws (Exemption From Furnishing Returns & Maintaining Registers By Certain Establishments) Act, 1988; Industrial Disputes Act, 1947; Factories Act, 1948; The Employment Exchanges (Compulsory Notification of Vacancies) Act, 1959; Employees Provident Fund And Miscellaneous Provisions Act, 1952"
,"Child Health; General Pediatric Medicine And Surgery; Early Childhood Development And Care; Neonatology; Molecular Genetics; Behavior And Development; Nutrition, Diet, And Physical Health; Congenital Disorders"
,"Elastic instability, Gross plastic deformation, Tensile instability; Creep damage and creep-fatigue interaction; Low and high cycle fatigue damage; Brittle/elastic damage, friction and wear; Ductile/plastic damage, corrosion of metals, alloys; Strain softening and strain-rate sensitivity damage; Impact damage, mechanical characterization of composites; Modeling and numerical simulation; lastic-plastic, Wear behavior of composites, metal Metrix composites, hybrid composites, fly ash, etc; Crack and fracture repair Techniques"
joise,Risk Assessment and Management; Safety Standards and Regulations; Structural Safety; Construction Safety; Material Safety; Emergency Preparedness and Response; Environmental Safety; Human Factors Engineering; Fire Safety Engineering; Traffic Safety and Transportation Engineering; Geotechnical Safety; Occupational Health and Ergonomics; Safety Training and Education; Safety Culture and Management Systems; Technological Innovations for Safety; Disaster Resilience and Recovery
,Community Health Workers; Concierge Medicine; Primary Health Care; Health Services Research; Reproductive Health Supplies Coalition; Healthcare Inequality and Health Disparities; Transcultural Nursing; Menopausal and Geriatric Gynecology; Hysterectomy; Oophorectomy
njrel,"Property Laws and Acts; Urban Development and Slum Clearance; Environmental and Forest Laws; Land Acquisition and Rehabilitation; Real Estate Regulation and Development; Benami Transactions (Prohibition) Amendment Act, 2016; Stamp Duty and Indian Stamp Act 1899; Special Economic Zones Act of 2005"
,Base Station Management; Wideband CDMA; Direct Sequence CDMA; Multicode CDMA; Channel Capacity; Multi-User MIMO Systems; Multiple-input and multiple-output Relay Channel; MIMO Antenna Design; MIMO Prototyping; Call establishment procedure; Call clearing procedures
,Nursing Informatics; Forensic Nursing; Home Health Nursing; Assessment & Diagnosis; Palliative Nursing; Intellectual Disability Nursing; Preoperative Nursing; Telenursing
njabm,"Advertising theories and their relationship with practice; Promotional Research and management; Cross-media research and management; Types of advertising; Sales promotions; Media and advertising approach; Crowdsourcing; Diversification; Social media; Advertising and organizational responsibilities; Cognitive information models; Foote, Cone, Belding (FCB) planning grid; Hierarchy of effects models; Careers in advertising management; Media Research, advertising, and communications"
,"Design/Analysis of all types of gear, gearboxes, gear measurement; Shaft design and bearing selection; Power transmitting shafts, Solar and electrical heating system; Advanced Vibrations; Tribology and Bearing Design; Bearings, fasteners, springs, brakes, and clutches; Computer-Aided Drafting and Electrical Drafting; Device fabrication, manufacturing of nanomaterials; Micro Station, Inventor, and GeoSoft Montaj drawing; design tools like finite element analysis, computational fluid dynamics, computer-aided manufacturing"
,
,"Structural dynamics; Seismic engineering; Geometrical and mathematical finalization; Minimization Theorem finalization; Boundary element method, finite strip techniques; Industrial FEM codes (NASTRAN, AXIS, FEM-DESIGN, SOFISTIK); Element interconnection; Finite element machine; Isogeometric analysis"
,Digital analog circuits; Integrated circuit; Microelectronics; Unconventional computing; Digital system and binary numbers; Asynchronous sequential logic; Digital Number System; Boolean Algebra and Logic Circuits; Digital Logic Gates; Digital Combinational Logic; Sequential Circuits; Digital Logic Families
njbeec,Accounting Ethics; Goods and Service Tax; Business ethics and the global economy; Employment Ethics; Health care ethics; Management ethics; Marketing & sales ethics; Virtue theory; Corporate behavior; Corporate benefit; Corporate governance; Corporate Social Entrepreneurship; Corporate sustainability
ijan,"Polymer; Polymer Chemistry; Polymer Physics and Theory; Polymer Processing and Engineering; Polymer Applications; Biomacromolecules, Biobased and Biodegradable Polymers; Circular and Green Polymer Science; Materials; Polymer Synthesis, Modification and Self-assembly; Applications; Polymer structures; Physical properties of polymers; surface and interfaces; Functional polymers; Supramolecular polymers"
,Real-Time Embedded Systems; Hybrid Embedded Systems; Serial Communication Interfaces; Synchronous Serial Communication Interface; Multi-Media Cards; Timers and Time Processing Units; Analog to Digital/Digital to Analog; Digital Systems Interfacing; Embedded computing and communication systems; Artificial intelligence
ijadp,Construction Industry of architecture design; Computer-aided Architectural Design; Architecture Framework of design; Integrated Information Systems of management; The architectural design of management; Sustainable construction of management; Collaborative Architectural Design Management; Architectural knowledge of design management
njbrm,"Disaster preparedness and prevention; Disaster relief and recovery; Study of Natural Calamities; Innovation and techniques for disaster control and management; Professional practices of business continuity; Infrastructure crisis, public policy; Leadership crisis; Enterprise risk management; Homeland security/organizational threats; Crisis communications; Governance, risk, regulatory compliance; Cybersecurity for the business; Avoiding business scams; Managing hazardous chemicals in the workplace; IT risk management"
,Offshore geotechnical engineering
josem,Building structures; Earthquake engineering structures; Civil engineering structures; Mechanical structures; Structural elements
njcbl,"Delegated Management; Contracts Formation and Contents; Competition and Consumer Law; Corporate governance and corporate finance; Business Organizations and internal rules; Balance of power; s duties and liabilities; Corporate Liability; Contract, Tort, and Crime"
ijccm,"Materials; Physical Properties of Composites; Novel composites; Nanocomposites; Biomedical composites; Energy composites; Modeling, non-destructive evaluation; Processing and manufacturing, properties and performance; Repair, testing, nano technology; Characterization; Physical chemistry; Process and functional materials; Fluid dynamics and applied mechanics"
,"Microwave transmission; Artificial dielectrics Microwave amplifiers; Transmitters, Planar Circuits; Quarter-wave transformer, Active array antenna, Antenna Design; WIPL-D Microwave; Microwave amplifiers; Microwave Components and Circuits; Scattering Parameters; Smith Chart and Its Applications; Transmission Lines; Waveguides; Planar Circuits and Passive Circuits; CAD tools in RF/Microwave circuit design; ABCD or Ray transfer matrix"
,Interpretative Architectural Model; Architectural Surveying; The survey is composed of the following steps; Architectural Heritage Value; Representation of Architectural Heritage; Digital Archive; Architectural Graphical Analysis; Structural Safety; Earthquake Architecture; Contemporary architecture; Spiritual Place; Regeneration of Economic Heritage; Heritage Buildings
ijbe,font-weight; Medical Imaging and Signal Processing; Biomechanics and Biomaterials; Biomedical Instrumentation; Bioinformatics and Computational Biology; Biomedical Systems and Control; Medical Informatics and Health Information Systems; Neuroengineering and Neural Systems; Tissue Engineering and Regenerative Medicine
,"Water resources; Hydrological Engineering; Fluid mechanics; Sewage treatment; Water Treatment Process; solutions, On-site sewage facility, Sand filter, Vermifilter, mechanized processes of Water Treatment; Waste stabilization pond; ed lagoon sedimentation pond systems, High rate ponds, Maturation ponds Disposal or treatment options; Preliminary treatment"
,Optical specifications; Geometrical optics principles; Optoelectronic technologies; Laser physics and atomic structure; Quantum optics; Optical lens design; Physics and lasers; Semiconductor properties; Optical design; Optical instrumentation; Optical meteorology
,"Green Infrastructure; Landscape Architecture; Spatial Planning; Organic Architecture; Infrastructure planning, design, and management; Landscape ecology; Urban Green Infrastructure; Space green infrastructure; Charging infrastructure planning; Enterprise Architecture"
njcbmr,Market information; Market segmentation; Market trends; Marketing effectiveness; Customer analysis; Choice modeling; Competitor analysis; Risk analysis; Ethnographic research; Product research; Advertising the research; The purchase decision and its context; Risk perception and risk reduction activities; Brand-switching; Customer loyalty
ijnb,Nanoparticles and their applications in biotechnology; Nanomaterials for drug delivery; Nanomaterials for gene delivery; Nanomaterials for tissue engineering; Nanobiosensors and their applications in biotechnology; Nanotechnology-based imaging techniques for biotechnology; Nanotoxicology and its impact on biotechnology; Nanotechnology-based diagnostics in biotechnology; Nanomaterials for food and agriculture; Nanotechnology-based therapeutics for biotechnology; Keywords
,Construction engineering; Earthquake engineering; Forensic engineering; Geotechnical engineering; Materials science and engineering; Structural engineering; Surveying; Transportation engineering; Urban engineering; Coastal engineering
,"Radio Frequency oscillators; Transmitters and Transmission lines; Radio Frequency connectors; Antennas; Receivers and Tuners; Amplifiers; Modulators, demodulators, and detectors; Radio Frequency filters; Radio Frequency shielding and Ground plane; Radiofrequency module; GPS & GLONASS Modules"
,"Polymer; Polymer Chemistry; Polymer Physics and Theory; Polymer Processing and Engineering; Polymer Applications; Biomacromolecules, Biobased and Biodegradable Polymers; Circular and Green Polymer Science; Materials; Polymer Synthesis, Modification and Self-assembly; Applications; Polymer structures; Physical properties of polymers; surface and interfaces; Functional polymers; Supramolecular polymers; Composites; Physical Properties of Composites; Novel composites; Nanocomposites; Biomedical composites; Energy composites; Modeling, non-destructive evaluation; Processing and manufacturing, properties and performance; Repair, testing, nano technology; Characterization; Physical chemistry; Process and functional materials; Fluid dynamics and applied mechanics"
,Sustainable development of environment; General regression neural networks; Strategic environmental assessment; Social capital of environmental planning; Ecological region of environmental development; System dynamics of development; Benefits of Environmental Management System; Strategic spatial planning of environment; Environmental ethics of development
njepdm,Women Entrepreneurs; Patent Rights; Financial Econometrics; IPR Issues; Entrepreneurship Development; Talent Management; International Business; Economy Policy; Corporate entrepreneurship; Difficulties of Entrepreneur
ttea,Transport Engineering; Equipment and Systems of Transportation; Traffic engineering; Mode of transportation; Urban Rail Transportation
ijnn,"Synthesis, characterization, properties, and applications of nanomaterials and nanostructures; Fundamental research applied research, and technological advances in the field; Interdisciplinary research with applications in various fields; Synthesis of nanomaterials, including nanoparticles, nanowires, nanotubes, and thin films; fraction, transmission electron microscopy, scanning electron microscopy, and atomic force microscopy; nanomaterials and nanostructures, including optical, electrical, magnetic, and mechanical properties; nanostructures in various fields, including energy, electronics, medicine, and environmental science; Development of new techniques for the synthesis of nanomaterials and nanostructures; Study of the stability, toxicity, and environmental impact of nanomaterials; Integration of nanomaterials into devices and systems for various applications; Theoretical modeling and simulation of nanomaterials and nanostructures"
,Specific Satellite Services; Space Surveillance Network; Weather and environmental monitoring; Mobile Satellite Services; Orbits and launches; Spacecraft technology; Ground equipment for GEO Satcom; VSAT Satellite Communication; Web-Based Services; Land survey data
,Rural Human Settlement of housing; Incremental Housing; Development Projects of housing; Sustainable Human Settlement; Environments of housing; Cape Town of human and housing; Modernist Urban Planning of human; Social Housing of human settlements; Circular Economy of housing settlements; Community Planning of human; Spatial Arrangement of housing settlement; Human settlement objective of housing settlement; Settlement of Rural Human; Regional Differences of housing; Land reform
,Amorphous oxide semiconductors; Photovoltaics; Advanced materials for CMOS; Novel devices; Thin films; Crystal structure; Quasicrystals; Spin glasses; High-temperature superconductivity
njfpm,"Personal Finance and Corporate Financial Service Industry; Financial statement analysis; Sources of Financing; Capitalization and Capital Structure; Cost of Capital; Leverage & Dividend Decision; Dividends, Organizations, Restructuring, Financial policy JEL classification; Capital Budgeting; Working Capital Management; Mutual Funds, Insurance, Stock Markets, Wealth Management; Banking Service and Macro Economy; Applied Financial Planning; Consumer Credit, Debt Planning and Management; Taxation Planning and Estate Planning"
ijrrd,Rural Development Strategies; font-weight; Rural-Urban Linkages; Natural Resource Management; Infrastructure Development; Policy Analysis and Evaluation; padding-top; padding-bottom; font-size
,Explosives; Pyrotechnic compositions; Rocket and Missile Propellants; synthesis and sensitivity of energetic materials; Molecular orbital calculations; Thermal decomposition and hazards testing; Detonation and/or Deflagration Processes
njgm,Global strategic marketing planning; Cross-national/cultural consumer decision-making and behavior; Global competitive strategy; Transfer of marketing technology; Global marketing information systems; Global buyer-seller interactions; Global strategic alliances; Advantages and disadvantages of Global Marketing
,The technology of Sustainable Building; Sustainability Assessment; Rating System of Sustainable Building; Sustainable Development of architecture; Construction Management of architecture; Maintenance of Sustainable Building; The technology of Building Innovation; Sustainability Barriers; Building Management of Sustainable; Advancement of Sustainable Technology
,"Telecommunications network and structure; Network media technologies; Design and Management of telecommunication systems; Security, Privacy, and Encryption in telecommunication systems; Networking Protocols; ansmission, Open Systems Interconnection model (OSI), (DHCP) Dynamic Host Configuration Protocol, DNS; Domain Name System protocol, FTP; File Transfer Protocol, HTTP; HyperText Transfer Protocol, IMAP, and IMAP4; Internet Message Access Protocol, POP, and POP3; Post Office Protocol, SMTP; Simple Mail Transfer Protocol, SNMP; Simple Network Management Protocol, TCP; Transmission Control Protocol, IP; Transmission System and Signaling Systems; Regulatory, standardization, and privatization issues in telecommunications; Traffic engineering; Advanced networking; Telematics and Telemetry"
,Properties of Metal; Production and Purification of Metal; Process of Metallurgy; Corrosion and Resistance of Materials; Structure and Physical Properties of Materials; Mine Safety and Protection of Mines; Mining Process; Steel Production and Process; Properties of Alloy; Metallurgical Engineering
ijtpm,Geographical Information System (GIS); Planning Process; New Town Planning; System Dynamics; Marine Spatial Planning (MSP); Land Use in Architecture; Smart Town Planning; Smart City Architecture; Sustainable Coastal Design; Strategic Planning; Landscape Design; Stormwater Management; Construction Logistics and On-Site Supply Chain Management; Risk Management and Predictive Analytics in Construction Logistics; Digital Technologies in Construction Logistics; Sustainability and Resilience in Construction Logistics; Urban Construction Logistics Challenges
,"CMOS technologies and SPICE Models; Stability and Noise issues in amplifiers; Frequency response; CMOS analog blocks; Current Sources and Voltage references; Differential amplifier, OPAMP, and OTA design; Frequency Synthesizers and Phased lock-loop; Non-linear analog blocks; Comparators, Charged-pump circuits, and Multipliers; Data converters; Analog Interconnects and Analog Testing and Layout; Low voltage and Low power Analog; Electronic design automation"
njhrmd,"Education, Training, and Development Practices; Human Resource Maintenance and Retention; Compensation Practices; Business Leadership; Consulting and Diversity; Employee Relations; Ethics & Sustainability; Global HR; Organizational & Employee Development; Staffing Management; Technical impact on HRM; Workforce Diversity Management; HR Outsourcing; Employee Engagement & Employee Communication; Work-life balance; Employee Satisfaction Survey"
ijudd,font-weight; padding-top; padding-bottom; font-size
,Electronics Circuits; Electronics Theory; Computer-Aided Design (CAD); Analog Electronics; Digital Electronics; Digital Signal Processors; Mathematical Methods in Electronics; Active Electronics Components; Passive Electronics Components; Semiconductors Fabrication
njitm,Database Management; Network security; Aviation Industry; Database design; Electronic Commerce; Information technology; Knowledge Management
,"Microprocessor & Microcontroller System; Microelectronic Devices and Circuits; Digital Circuits and Digital Signal Processor; Programmable Logic designing; Graphics Processing Units; Profiling, Optimization, Debugging, Hardware, Future trends, Gravitation, Stellar dynamics, Methods; N-body simulation, Methods; Instruction Set Architecture; Stellar dynamics, Method; N-body simulations, Cosmology; large-scale structure of the universe, Galaxies; SoC, SoPC, MPoC, and NoC Designing; ASIC, FPGA; Leveraging Software Tools for Optimal Performance; Optimizing Microarchitecture through Parallelism"
njlsm,"Strategic Management Process; Management decisions; Time scales and product development planning; Structure of the organization; Activities of the organization; Analysis of internal and external factors for product development; SWOT Analysis; Experience curve; Corporate strategy and portfolio theory; Competitor Analysis; Generic competitive strategic thinking; Internet and information availability; Sustainability; Age of Discontinuity-new technologies, globalization, cultural pluralism, and knowledge capital"
jomsd,Light-Emitting diodes; Liquid-Crystal Display; Transistor amplifiers; Microelectronic circuits; Electronic band structure; Electrons; Energy bands; Metal-oxide-Semiconductor Capacitor; Nano MOSFETs; Device modeling; Bipolar Transistor Devices; Micro/Nano Photonic Devices
,"Microwave, Millimeter-Wave, and Terahertz Technologies; Microwave Antennas and Devices; Microwave Photonics; Infrared and Laser Technologies; Band Gap Materials; Electromagnetic Field; MMIC, MEMS, PBG Structures, and Metamaterials"
njmis,Business Process Management; Collaborative and Social Computing; Computer-supported cooperative work; Computing and Business; Decision Analysis; Decision Support System (DSS); Electronic Commerce; E-commerce; Enterprise computing; Human-Computer Interaction; Project and People Management
,Conductors; Semiconductors; Insulator; Optical Sensor; MOS Capacitor; MOSFET; Energy bands; Electrical conduction; Charge carrier; Doping
rrjophy,Quantum Physics; Astrophysics; Cosmology; Statistical physics; Thermodynamics Liquid Crystals Chemical; Gravitational Physics; Magnetohydro dynamics; Nuclear physics; Geophysics; Solid State Physics; Atomic physics; Biophysics
,Fiber Optic Communication Systems; Time Division Switching Systems; Voice Data Integration Schemes; Integrated Service Digital Network; Transmission System; Signaling Systems; Urban or Metropolitan Area Networks; Wide Area Networks; Telephone Switches; Stronger Switching Systems; Traffic Engineering
njobm,"Management and Organizational Behavior; Evolution of Management Thoughts; Departmentation and Structural Formats; Systems analysis, management, training, and performance improvement; Human resource management; Applied behavior analysis; Behavioral systems analysis; Performance management; Employee safety, employee training; Stress, health, and employee productivity; Evaluation of employee satisfaction and feedback systems; Managing absenteeism, tardiness, and turnover; Use of monetary and nonmonetary incentives; Self-management procedures; Programmed instruction, behavioral modeling, and computer-aided instruction; Positive and negative side effects of OBM interventions"
,Transmission Systems; Relay Stations; Tributary stations; Data Terminal Equipment; Power Line Communication Systems; A Duplex Communication System; A Tactical Communication System; Electronic Sensors; Sensory Systems
njorm,Decision theory and analysis; Operations research techniques in finance and marketing; Manufacturing and operations theory and practice; Operation model in services; Applications of operations research techniques; Operations research in public sector organizations
,"High-Speed Machining, including streamlining of tool paths, Electric Vehicle; Multi-function Machining; Axis Machining; Feature recognition and machining; Automation of Machining processes; Computer-aided manufacturing software, Computational intelligence; Automate manufacturing processes; The manufacturing process and usage complexity; Product Lifecycle Management (PLM) and Direct numerical control (DNC) systems; Modern enterprise integration"
,Magnetic Sensor Technologies; Electric Sensor Technologies; Electrophysiological Monitoring; Forensic and Materials Characterization; Intelligent Vision Sensors; Sensor Fusion; Space-Based Surveillance and Detection; Modeling and simulation of sensors
njpmrs,Retention Strategies; Retention and Motivation Theory; s Theory; Equity Theory; Expectancy theories; Organizational behavior management; Behavioral systems analysis; Role of leaders in employee retention; Employee engagement and retention; HR and employee retention; Benefits of Employee Retention
,Enabling Technologies & Applications in Optical Networks; Survivability of Optical Networks; Optical Network Security; Photonics; Dynamic Optical Networks; Fiber-Optic Networks; Advanced DSL Technologies; Operations Support Systems for Optical Networks; Quantum Communication
njsclm,"Marketing channels and strategy; Transaction cost economics; Logistics performance management; Enterprise resource planning; E-logistics and Logistics information systems; Customer relationship management; Supply chain management; Warehouse management; Purchasing, Procurement, E-commerce, E-auctions; Technique and Technology of the Logistic Infrastructure; Logistics Cost and Controlling; Mass Customization, Order Postponement, Responsiveness"
,Analog-based drug design; Clinical and medicinal chemistry; Drug extraction; Drug safety assessment; Fragment-based drug discovery; Pharmaceutical analysis; Pharmaceutical screening process; Structure-based drug discovery; In silico drug discovery; Types of pharmaceutical drugs
,"Modern Tools and Mechanics; Micro-Sensor Development and Lubricating Oil Tribology; Science; Finite Element Analysis; Active Shape Control and Adaptive Structures; Vibration, Control Theory, and Control Engineering; Mechatronics and Robotics; Design and Drafting Finite Element Analysis; Machine Design"
rrjop,Clinical Pharmacology; Telemedicine; Neuropharmacology; Clinical Trials and Drug Development; Artificial Intelligence and Digital Health in Pharmacology; Adverse Drug Reactions (ADRs) and Pharmacovigilance; Psychopharmacology; Molecular Diagnostics; Drug Metabolism; Dosology and Pharmacognosy; Molecular and Cellular Pharmacology; Endocrine Pharmacology
,"Kinematics of Machines; CAD/CAM/CAE Technology; Mechatronic Design; Machine Manufacturing Processes; Brakes, Clutch, Gears, and Springs Design; Screws, Rivets, and Pins; Fatigue and Their Failure; Belts, Pulleys, Sheaves, and Flywheels; Machine Learning Algorithms"
rrjops,"Formulation Engineering and Processing; Molecular Biopharmaceutics and Drug Disposition; Pharmacokinetics, Pharmacodynamics, and Pharmacogenetics; Pharmacodynamics, Pharmacogenetics; Metabolic Disposition of Bioactive Agents; Protein-peptide Chemistry and Biotechnology; harmaceutical Toxicology; Drug Metabolism; Quality Control; Pharmaceutical Nanotechnology; Pharmaceutical validation techniques"
,Ice harvesting; Non-cyclic and cyclic refrigeration; Vapor-compression and Vapor absorption cycle; Electromechanical cooling; Ductless (split-system) and Window air conditioning; Photovoltaics and Thermal Solar technologies; Hydronics and Water coils; Tubing Operations and Sheet Metal Fabrication
,Drug Delivery System; Drug Carriers; Experimental and Clinical Therapeutics; Surface Modification; Cellular Crosstalks; Nanoformulation and Nutraceutical; Image-guided Drug therapy; Devices for Drug Delivery
,"Library Management; Information Literacy & Seeking Behaviors; Information Architecture; Information & Knowledge Audit; Bibliographic Control; Digital Library Open Sources; Library Research, Finance & Budgeting; Library, Society & Social Networking; Librarian Partnerships or Collaborations; Search, Navigation & Retrieval Techniques"
,"Production and Operations Management; Planned Manufacturing, optimization, and simulation; Production systems; Supply Chain Management; Manufacturing Strategy; Policy formulation and evaluation in production research; Business Law and Technology Management; Operational and Marketing Management; Human Resource Management; Business Strategy and Policy"
osmj,"Language & Communication; Education; Philosophy; Theology; Social Science & Humanities; Information Science; Human Beliefs and Spiritual Values; Moral Studies, Virtues, and Values; Science and Religion; Natural Sciences; Political Science; Marketing Management"
,Biopolymer; Conjugated microporous polymer; Polyanhydrides; Polymer adsorption; Polymer separators; Polymerization; Polymersome; Plastics engineering
rrjobt,Genetic & Tissue Engineering; Computational Biology; Bioinformatics; Metabolic Engineering
rrjob,Plant science; Plant Ecology; Plant Physiology; Plant morphology; Plant genetics; Phytochemistry; Agronomy; Arboriculture; Palynology; Forensic Botany
,"Manufacturing Automation; Mechatronics Engineering; Control System Design, Industrial System Design; Product Design Techniques; Mechatronics, Robotics, Biomimetics; Sensors, Wireless Sensor Networks, and Multisensory Data Fusion; AI, Neural Networks; Modeling and Control of Mechatronics Systems and Robots; Industrial Automation, Process Control, and Networked Control System; Human-Computer Interaction, Telerobotics"
rrjocb,Bioinformatics; Genomics; Proteomics; Mathematical Biology; Medical Informatics; Biomarker Discovery; Computational Biomodelling; Drug Designing; Biological Algorithms
rrjocst,Crop Physiology; Entomology; Crop Diversity; Viticulture; Post-Harvest Management; Crop Metabolism; Crop Production and Management; Crop breeding; Fertilization and Pollen Behavior; Crop Farming
rrjodst,Dairy Science and Technology; Biotechnology & Biochemistry of milk; Nutritional qualities of milk and dairy products; Milk from Bovine or Non-Bovine; Human milk; Breeding systems; Breeding of high-yielding cattle; Animal nutrition & physiology; Study of Animal Behavior; Livestock Production and Management
,"Thermodynamic Equilibrium, Non-Equilibrium; Thermodynamic systems and processes, thermal management/control; Heating and cooling technologies; Energy Transformations; Classical, statistical, chemical, Atmospheric, Biological Thermodynamics; Thermodynamic properties and relations; Thermal interface materials; Thermoeconomics"
rrjoe,Behavioral Ecology; Molecular Ecology; Evolutionary Ecology; Ecosystem Ecology; Population Ecology; Community Ecology; Landscape Ecology; Restoration Ecology; Ecotoxicology; Terrestrial Ecology; Aquatic Ecology; Microbial Ecology; Systems Ecology
rrjofst,Food safety and microbiology; Food engineering; Food processing technologies; Food chemistry; Food Packaging and Processing; Food Grading; Bioprocess and Food Enzyme Technology; Food Safety and Defense; Food Storage and Preservation; Food quality assurance
,"Industrial Automation; Robotic Automation; Factory Automation; Hydraulics and Pneumatics, automotive coolants; Sequential control and logical sequence control; Manufacturing Automation, automatic machine, automatic blower; Distributed control and remote monitoring; Fault detection and isolation (FDI); Virtual instrumentation and control; Fieldbus technology and interfaces"
rrjohs,Herbal Drug/Medicine & Formulations; Phytopharmaceutical chemistry; Herbal Ayurveda & Medicinal Plant; Herbal Cosmeceuticals & Products; Herbal Nutrients & Dietary supplements; Plant Tissue Culture; Ethnoecology & Ethnobotany; Phytotherapy; Aromatherapy; Naturopathy
,"Production planning and control, workforce skills; Casting trend and different machining technology; Tool and precision engineering, Manufacturing Technology, Genetic Algorithm; Metrology and inspection; Automation and rapid manufacturing, Productivity Enhancement; Maintenance Engineering and Tribology, SMEs; Reliability and quality engineering, Genetic Algorithm"
rrjols,Biology; Genetics; Molecular Biology; Cell biology; Biochemistry; Biophysics; Environmental science; Biomedical Science; System biology; Developmental Biology
rrjomv,Industrial Microbiology; Food & Dairy Microbiology; Agricultural & Plant Microbiology; Environmental Microbiology; Aquatic & Water Microbiology; Microbial Biotechnology; Viral pathogenesis & Antiviral agents; Bioremediation; Microbial Ecology; Microbial Cytology; Microbial Physiology; Virology and Viral Therapy; Antiviral agents
,"Assessment of risk from the air, water, and soil pollution; Feasible remedies for treatment and prevention of pollution, use of biodiesels, biofuels; Protection of groundwater from pollutants; Waste disposal techniques and wastewater management; Utilization of Solar Energy; Feasibility study of pollutants; Impacts of pollutants on ecology; Assessment of environmental policies and legal aspects; Assessment of water quality; Assessment of low-frequency noise problems and solutions"
rrjovst,Animal nutrition & physiology; Veterinary Pharmacology & Medicine; Study of Animal Behavior; Animal Genetics & Breeding; Breeding systems; Livestock Production and Management; Veterinary Biochemistry; Veterinary Epidemiology; Veterinary Microbiology & Parasitology; Veterinary Anesthesia & Toxicology; Surgical Nursing
,"Computer-Aided Design and Manufacturing; tal systems, natural occlusal function, subcritical damage, Beneficiation, Fabrications, and assembly; Traditional, Non-Traditional and flexible Manufacturing Processes; Machining, Joining, Thermal Treatment, and finishing processes; Recycling, Vacuum Technology; Material Optimisation, Surface Engineering; Composite Materials; Reverse Engineering processes; Lean Manufacturing, Textile Engineering; Mechatronics, Friction Stir welding"
rrjost,Theoretical and Computational Statistics; Variance Analysis; Statistical Decision Theory; Biostatistics; Agricultural Statistics; Parameter & Nonparametric Estimation; Foundations of Statistical Inference; Time series & Sequential procedures; Design of Experiments; Stochastic processes
,"Feedback controllers, Cognitive Automation; Industrial Automation; Agent Assisted Automation; Bulk Material Handling, Warehouse; Automated Storage and Retrieval System; Pallet, Slip sheet, Electric track vehicle system; PLC Programming; Transport Equipment; Position Equipment, Taguchi technique, ANOVA System; Hoists, Balancers, manipulators, Industrial Robots; Machine safety systems"
,"Operations research and optimization techniques; Supply chain management and logistics; Systems simulation and stochastic processes; Statistical process control or quality control; Predetermined motion time system; Productivity improvement; Quality assurance, and inventory control; System and personnel safety; Value analysis"
rrjohp,"Audiology; Cardiovascular Technology; Clinical Chiropractic; Clinical Laboratory Technology; Health Economics; Healthcare System and Health Policy; Interdisciplinary Clinical Studies, Assessment, and Outcomes; Medical Laboratory Sciences; Nutrition and Dietetics; Occupational Therapy; Osteopathy; Physician; Psychology; Radiology and Ultrasound Technology; Speech and Language Therapy; Surgical Technology"
,"Two-stroke, Four-stroke, Five strokes, and Six-stroke engines; Ignition; Lubrication; Engine Cycles; Wankel rotary engine; Engine configurations; Fuels and oxidizers; Industrial Gas turbines for power generation and mechanical drive; Jet engines"
rrjoi,"Adaptive Immunity; Allergies and Hypersensitivity; Autoimmunity and Immunodeficiency Diseases; Clinical Immunology; Developmental Immunology; Immune Regulation; Immunogenetics; Immunogenomics, Immunoproteomics, and Immune Metabolomics; Immunohistology and Immunopathology; Immunotechniques; Immunotherapy and Vaccines; Innate Immunity and Inflammation; Molecular Immunology; Mucosal Immunology; Neuroimmunology; Reproductive Immunology; Structural Immunology; Synthetic Immunity and Immunoengineering; Transplantation; Tumor Immunology"
